IdPago,Pago,Rfc,Factura,FormaPago,Mensaje,ReferenciaManual
3535,0.60999999999999998667732370449812151491641998291015625,N/E,null,null,Sin referencia,N/A
3536,1.3000000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3537,3.810000000000000053290705182007513940334320068359375,N/E,null,null,Sin referencia,N/A
3538,5.94000000000000039079850466805510222911834716796875,N/E,null,null,Sin referencia,N/A
3539,8.1199999999999992184029906638897955417633056640625,N/E,null,null,Sin referencia,N/A
3540,37.1099999999999994315658113919198513031005859375,N/E,null,null,Sin referencia,N/A
3541,2736.09999999999990905052982270717620849609375,N/E,null,null,Sin referencia,N/A
3542,261,N/E,null,null,Sin referencia,N/A
3543,0.70999999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3544,4.45999999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3545,5.5999999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3546,35,N/E,null,null,Sin referencia,N/A
3547,247,N/E,null,null,Sin referencia,N/A
3548,246,N/E,null,null,Sin referencia,N/A
3549,0.5,N/E,null,null,Sin referencia,N/A
3550,0.68000000000000004884981308350688777863979339599609375,N/E,null,null,Sin referencia,N/A
3551,3.140000000000000124344978758017532527446746826171875,N/E,null,null,Sin referencia,N/A
3552,4.21999999999999975131004248396493494510650634765625,N/E,null,null,Sin referencia,N/A
3553,473.98000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3554,385,N/E,null,null,Sin referencia,N/A
3555,358,N/E,null,null,Sin referencia,N/A
3556,0.9699999999999999733546474089962430298328399658203125,N/E,null,null,Sin referencia,N/A
3557,0.979999999999999982236431605997495353221893310546875,N/E,null,null,Sin referencia,N/A
3558,1.0500000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3559,6.05999999999999960920149533194489777088165283203125,N/E,null,null,Sin referencia,N/A
3560,6.11000000000000031974423109204508364200592041015625,N/E,null,null,Sin referencia,N/A
3561,6.5800000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3562,809.970000000000027284841053187847137451171875,N/E,null,null,Sin referencia,N/A
3563,724.6599999999999681676854379475116729736328125,N/E,null,null,Sin referencia,N/A
3564,1.479999999999999982236431605997495353221893310546875,N/E,null,null,Sin referencia,N/A
3565,2.220000000000000195399252334027551114559173583984375,N/E,null,null,Sin referencia,N/A
3566,9.2599999999999997868371792719699442386627197265625,N/E,null,null,Sin referencia,N/A
3567,13.8499999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3568,2555,N/E,null,null,Sin referencia,N/A
3569,1595.970000000000027284841053187847137451171875,N/E,null,null,Sin referencia,N/A
3570,1509.98000000000001818989403545856475830078125,N/E,null,null,Sin referencia,N/A
3571,1354,N/E,null,null,Sin referencia,N/A
3572,3.270000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3573,3.45000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3574,3.70000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3575,4.12999999999999989341858963598497211933135986328125,N/E,null,null,Sin referencia,N/A
3576,20.410000000000000142108547152020037174224853515625,N/E,null,null,Sin referencia,N/A
3577,21.589999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3578,23.1400000000000005684341886080801486968994140625,N/E,null,null,Sin referencia,N/A
3579,25.809999999999998721023075631819665431976318359375,N/E,null,null,Sin referencia,N/A
3580,492,N/E,null,null,Sin referencia,N/A
3581,334,N/E,null,null,Sin referencia,N/A
3582,241,N/E,null,null,Sin referencia,N/A
3583,0.66000000000000003108624468950438313186168670654296875,N/E,null,null,Sin referencia,N/A
3584,0.68000000000000004884981308350688777863979339599609375,N/E,null,null,Sin referencia,N/A
3585,1,N/E,null,null,Sin referencia,N/A
3586,4.12000000000000010658141036401502788066864013671875,N/E,null,null,Sin referencia,N/A
3587,4.269999999999999573674358543939888477325439453125,N/E,null,null,Sin referencia,N/A
3588,6.28000000000000024868995751603506505489349365234375,N/E,null,null,Sin referencia,N/A
3589,17663.3499999999985448084771633148193359375,N/E,null,null,Sin referencia,N/A
3590,206,N/E,null,null,Sin referencia,N/A
3591,0.419999999999999984456877655247808434069156646728515625,N/E,null,null,Sin referencia,N/A
3592,2.62999999999999989341858963598497211933135986328125,N/E,null,null,Sin referencia,N/A
3593,48.3299999999999982946974341757595539093017578125,N/E,null,null,Sin referencia,N/A
3594,302.04000000000002046363078989088535308837890625,N/E,null,null,Sin referencia,N/A
3595,2249.84000000000014551915228366851806640625,N/E,null,null,Sin referencia,N/A
3596,455.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3597,323.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3598,4.5999999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3599,5.54000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3600,7.79000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3601,28.760000000000001563194018672220408916473388671875,N/E,null,null,Sin referencia,N/A
3602,0.89000000000000001332267629550187848508358001708984375,N/E,null,null,Sin referencia,N/A
3603,1.25,N/E,null,null,Sin referencia,N/A
3604,889.8799999999999954525264911353588104248046875,N/E,null,null,Sin referencia,N/A
3605,1.8200000000000000621724893790087662637233734130859375,N/E,null,null,Sin referencia,N/A
3606,11.3800000000000007815970093361102044582366943359375,N/E,null,null,Sin referencia,N/A
3607,1791.950000000000045474735088646411895751953125,N/E,null,null,Sin referencia,N/A
3608,1283,N/E,null,null,Sin referencia,N/A
3609,462,N/E,null,null,Sin referencia,N/A
3610,4.9000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3611,5.910000000000000142108547152020037174224853515625,N/E,null,null,Sin referencia,N/A
3612,16.3900000000000005684341886080801486968994140625,N/E,null,null,Sin referencia,N/A
3613,30.629999999999999005240169935859739780426025390625,N/E,null,null,Sin referencia,N/A
3614,0.9499999999999999555910790149937383830547332763671875,N/E,null,null,Sin referencia,N/A
3615,2.62000000000000010658141036401502788066864013671875,N/E,null,null,Sin referencia,N/A
3616,582.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3617,1.5900000000000000799360577730112709105014801025390625,N/E,null,null,Sin referencia,N/A
3618,9.96000000000000085265128291212022304534912109375,N/E,null,null,Sin referencia,N/A
3619,469,N/E,null,null,Sin referencia,N/A
3620,286,N/E,null,null,Sin referencia,N/A
3621,246,N/E,null,null,Sin referencia,N/A
3622,0.2099999999999999922284388276239042170345783233642578125,N/E,null,null,Sin referencia,N/A
3623,0.58999999999999996891375531049561686813831329345703125,N/E,null,null,Sin referencia,N/A
3624,0.67000000000000003996802888650563545525074005126953125,N/E,null,null,Sin referencia,N/A
3625,0.95999999999999996447286321199499070644378662109375,N/E,null,null,Sin referencia,N/A
3626,1.3000000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3627,3.660000000000000142108547152020037174224853515625,N/E,null,null,Sin referencia,N/A
3628,4.20000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
